tax_year,donor_ein,donor_name,amount,purpose,grant_type
2019,952504044,JEWISH COMMUNITY FOUNDATION OF SAN DIEGO,24800,GENERAL,schedule_i
2019,221714130,RUTGERS UNIVERSITY HILLEL,17500,General Charitable Purposes,schedule_i
2019,590624404,JEWISH FEDERATION OF GREATER MIAMI,15000,GENERAL SUPPORT TO CARRY OUT THE MISSION OF THE ORGANIZATION,schedule_i
2019,541653165,TIDEWATER JEWISH FOUNDATION INC,14500,GENERAL OPERATIONS/DONATIONS,schedule_i
2019,581021791,JEWISH FEDERATION OF GREATER ATLANTA,11000,DONATIONS,schedule_i
2019,510064315,JEWISH FEDERATION OF DELAWARE,7500,ENDOWMENT FUND GRANTS AND ALLOCATIONS,schedule_i
2019,410693866,JEWISH FEDERATION OF MINNEAPOLIS,5000,"GINAT EDEN, SCHOOL FOR AT RISK TEENAGE GIRLS",schedule_i
2018,262547583,CHERNA MOSKOWITZ FOUNDATION,3013000,PROMOTING CHARITABLE ACTIVITIES IN ISRAEL.,paid
2018,223951652,ISRAELI AMERICAN COUNCIL,200000,FIGHT ANTISEMITISIM,schedule_i
2018,741109654,JEWISH FEDERATION OF GREATER HOUSTON,75000,Victims of Terrorism,schedule_i
2018,541653165,TIDEWATER JEWISH FOUNDATION INC,32500,GENERAL OPERATIONS/DONATIONS,schedule_i
2018,221714130,RUTGERS UNIVERSITY HILLEL,10610,General Charitable Purposes,schedule_i
2018,581021791,JEWISH FEDERATION OF GREATER ATLANTA,10000,DONATION,schedule_i
2018,362167761,HILLELS OF ILLINOIS,6500,Grants from Donor Advised Funds - Operating Support,schedule_i
2017,262547583,CHERNA MOSKOWITZ FOUNDATION,3617000,PROMOTING CHARITABLE ACTIVITIES IN ISRAEL.,paid
2017,741109654,JEWISH FEDERATION OF GREATER HOUSTON,250000,Sppt Ethopian Trade Training,schedule_i
2017,741109654,JEWISH FEDERATION OF GREATER HOUSTON,150000,Legal Sppt Victims of Terrorism,schedule_i
2017,741109654,JEWISH FEDERATION OF GREATER HOUSTON,50000,Sppt Father Gabriel's programs,schedule_i
2017,362167761,HILLELS OF ILLINOIS,48480,Grants from Donor Advised Funds - Operating Support,schedule_i
2017,530212445,JEWISH FEDERATION OF GREATER WASHINGTON,12500,"SEE PART IV, TYPE A",schedule_i
2017,201195592,JEWISH FEDERATION OF NORTHERN NEW JERSEY,10000,GENERAL SUPPORT,schedule_i
2016,262547583,CHERNA MOSKOWITZ FOUNDATION,1985500,PROMOTING CHARITABLE ACTIVITIES IN ISRAEL.,paid
